id,ingredient,name
820,白菜,白菜の葉
821,粉チーズ,②粉チーズ
822,粉チーズ,粉チーズ
823,粉チーズ,粉チーズ（あれば）
824,米油,米油
825,米油,米油(肉用)
826,米油,米油(卵用)
827,片栗粉,◯片栗粉
828,片栗粉,●片栗粉
829,片栗粉,○片栗粉（豚肉用）
830,片栗粉,☆片栗粉
831,片栗粉,※片栗粉
832,片栗粉,①片栗粉
833,片栗粉,A 片栗粉
834,片栗粉,A.片栗粉
835,片栗粉,B.片栗粉
836,片栗粉,片栗粉
837,味噌,味噌
838,卵,▲卵
839,卵,◎卵
840,卵,☆卵
841,卵,★卵
842,卵,※卵
843,卵,A.玉子
844,卵,Ａ．玉子
845,卵,たまご
846,卵,とき卵
847,卵,玉子
848,卵,生卵・・・生卵に浸けて食べる場合
849,卵,溶き卵
850,卵,卵
851,卵,卵（１品あたり）
852,卵,卵(Sサイズ)
853,里芋,サトイモ
854,里芋,里芋
855,和風だしの素,（あごだしがなければ：★ほんだし顆粒）
856,和風だしの素,●だしのもと
857,和風だしの素,◎だしの素
858,和風だしの素,◎飛魚だし
859,和風だしの素,●和風だしの素
860,和風だしの素,●和風顆粒だし
861,和風だしの素,・昆布又は顆粒昆布だし
862,和風だしの素,☆だしの素
863,和風だしの素,☆ほんだし
864,和風だしの素,☆和風だし
865,和風だしの素,☆顆粒だし
866,和風だしの素,☆顆粒だしの素
867,和風だしの素,★だしの素
868,和風だしの素,★粉末かつおだしの素
869,和風だしの素,だしの素
870,和風だしの素,だしの素（顆粒）
871,和風だしの素,だしの素(顆粒)
872,和風だしの素,ほんだし
873,和風だしの素,ほんだしの素
874,和風だしの素,粉末だし
875,和風だしの素,粉末鰹だし☆
876,和風だしの素,本だし
877,和風だしの素,和風だしの素
878,和風だしの素,和風だしの素（粉末）
879,和風だしの素,和風だしの素（顆粒）
880,和風だしの素,和風顆粒だし
881,和風だしの素,顆粒だし
882,和風だしの素,顆粒だしの素
883,和風だしの素,顆粒昆布だし
884,筍の水煮,筍の水煮
885,餃子の皮,餃子の皮
